[2016-03-03 11:24:00,083: INFO/MainProcess] Received task: scholarly_citation_finder.api.citation.tasks.evaluation_run[1a5a660d-9912-4db8-8113-294ae3767aa5]
[2016-03-04 04:22:56,653: INFO/Worker-2] 1788919128: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 04:22:57,891: INFO/Worker-2] 1857642308 author: set 48 publications
[2016-03-04 04:23:01,191: INFO/Worker-2] found 170 author in the search set
[2016-03-04 04:23:01,191: INFO/Worker-2] authors: 170
[2016-03-04 04:57:46,232: INFO/Worker-2] 1857642308: finished strategy "author-ordered"
[2016-03-04 04:57:48,803: INFO/Worker-2] found 170 author in the search set
[2016-03-04 04:57:48,803: INFO/Worker-2] authors: 170
[2016-03-04 05:24:40,344: INFO/Worker-2] 1857642308: finished strategy "author-ordered-minyear"
[2016-03-04 05:24:40,406: INFO/Worker-2] found 25 journals in search set
[2016-03-04 05:25:20,024: INFO/Worker-2] 1857642308: finished strategy "journal-ordered"
[2016-03-04 05:25:20,057: INFO/Worker-2] found 25 journals in search set
[2016-03-04 05:25:27,721: INFO/Worker-2] 1857642308: finished strategy "journal-ordered-minyear"
[2016-03-04 05:25:27,730: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 05:25:27,730: INFO/Worker-2] 1857642308: finished strategy "conference-ordered"
[2016-03-04 05:25:27,754: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 05:25:27,755: INFO/Worker-2] 1857642308: finished strategy "conference-ordered-minyear"
[2016-03-04 05:25:29,290: INFO/Worker-2] found 170 author in the search set
[2016-03-04 05:25:29,290: INFO/Worker-2] authors: 170
[2016-03-04 05:58:02,849: INFO/Worker-2] authors: 83
[2016-03-04 06:15:36,994: INFO/Worker-2] found 44 journals in search set
[2016-03-04 06:16:18,040: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 06:16:18,041: INFO/Worker-2] 1857642308: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 06:16:19,227: INFO/Worker-2] 723861092 author: set 30 publications
[2016-03-04 06:16:20,198: INFO/Worker-2] found 28 author in the search set
[2016-03-04 06:16:20,198: INFO/Worker-2] authors: 28
[2016-03-04 06:18:22,704: INFO/Worker-2] 723861092: finished strategy "author-ordered"
[2016-03-04 06:18:22,720: INFO/Worker-2] found 28 author in the search set
[2016-03-04 06:18:22,720: INFO/Worker-2] authors: 28
[2016-03-04 06:18:22,965: INFO/Worker-2] 723861092: finished strategy "author-ordered-minyear"
[2016-03-04 06:18:22,966: INFO/Worker-2] found 12 journals in search set
[2016-03-04 06:19:08,252: INFO/Worker-2] 723861092: finished strategy "journal-ordered"
[2016-03-04 06:19:08,266: INFO/Worker-2] found 12 journals in search set
[2016-03-04 06:19:31,177: INFO/Worker-2] 723861092: finished strategy "journal-ordered-minyear"
[2016-03-04 06:19:31,193: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 06:19:31,193: INFO/Worker-2] 723861092: finished strategy "conference-ordered"
[2016-03-04 06:19:31,217: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 06:19:31,218: INFO/Worker-2] 723861092: finished strategy "conference-ordered-minyear"
[2016-03-04 06:19:31,219: INFO/Worker-2] found 28 author in the search set
[2016-03-04 06:19:31,219: INFO/Worker-2] authors: 28
[2016-03-04 06:19:57,742: INFO/Worker-2] authors: 19
[2016-03-04 06:22:27,048: INFO/Worker-2] found 15 journals in search set
[2016-03-04 06:22:47,162: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 06:22:47,163: INFO/Worker-2] 723861092: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 06:22:48,586: INFO/Worker-2] 490083078 author: set 55 publications
[2016-03-04 06:22:51,060: INFO/Worker-2] found 116 author in the search set
[2016-03-04 06:22:51,060: INFO/Worker-2] authors: 116
[2016-03-04 06:32:47,750: INFO/Worker-2] 490083078: finished strategy "author-ordered"
[2016-03-04 06:32:49,033: INFO/Worker-2] found 116 author in the search set
[2016-03-04 06:32:49,034: INFO/Worker-2] authors: 116
[2016-03-04 06:39:38,286: INFO/Worker-2] 490083078: finished strategy "author-ordered-minyear"
[2016-03-04 06:39:38,296: INFO/Worker-2] found 10 journals in search set
[2016-03-04 06:40:37,822: INFO/Worker-2] 490083078: finished strategy "journal-ordered"
[2016-03-04 06:40:37,831: INFO/Worker-2] found 10 journals in search set
[2016-03-04 06:41:07,425: INFO/Worker-2] 490083078: finished strategy "journal-ordered-minyear"
[2016-03-04 06:41:07,443: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 06:41:07,443: INFO/Worker-2] 490083078: finished strategy "conference-ordered"
[2016-03-04 06:41:07,456: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 06:41:07,456: INFO/Worker-2] 490083078: finished strategy "conference-ordered-minyear"
[2016-03-04 06:41:09,922: INFO/Worker-2] found 116 author in the search set
[2016-03-04 06:41:09,922: INFO/Worker-2] authors: 116
[2016-03-04 06:47:52,776: INFO/Worker-2] authors: 120
[2016-03-04 07:05:14,020: INFO/Worker-2] found 30 journals in search set
[2016-03-04 07:06:28,838: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:06:28,838: INFO/Worker-2] 490083078: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 07:06:29,920: INFO/Worker-2] 1593916528 author: set 35 publications
[2016-03-04 07:06:31,908: INFO/Worker-2] found 95 author in the search set
[2016-03-04 07:06:31,909: INFO/Worker-2] authors: 95
[2016-03-04 07:10:50,820: INFO/Worker-2] 1593916528: finished strategy "author-ordered"
[2016-03-04 07:10:50,849: INFO/Worker-2] found 95 author in the search set
[2016-03-04 07:10:50,849: INFO/Worker-2] authors: 95
[2016-03-04 07:10:51,571: INFO/Worker-2] 1593916528: finished strategy "author-ordered-minyear"
[2016-03-04 07:10:51,579: INFO/Worker-2] found 5 journals in search set
[2016-03-04 07:10:55,711: INFO/Worker-2] 1593916528: finished strategy "journal-ordered"
[2016-03-04 07:10:55,736: INFO/Worker-2] found 5 journals in search set
[2016-03-04 07:10:56,497: INFO/Worker-2] 1593916528: finished strategy "journal-ordered-minyear"
[2016-03-04 07:10:56,498: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:10:56,499: INFO/Worker-2] 1593916528: finished strategy "conference-ordered"
[2016-03-04 07:10:56,499: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:10:56,499: INFO/Worker-2] 1593916528: finished strategy "conference-ordered-minyear"
[2016-03-04 07:10:56,501: INFO/Worker-2] found 95 author in the search set
[2016-03-04 07:10:56,501: INFO/Worker-2] authors: 95
[2016-03-04 07:10:58,040: INFO/Worker-2] authors: 64
[2016-03-04 07:12:25,006: INFO/Worker-2] found 11 journals in search set
[2016-03-04 07:12:28,873: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:12:28,874: INFO/Worker-2] 1593916528: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 07:12:29,590: INFO/Worker-2] 1885602469 author: set 19 publications
[2016-03-04 07:12:30,250: INFO/Worker-2] found 26 author in the search set
[2016-03-04 07:12:30,250: INFO/Worker-2] authors: 26
[2016-03-04 07:13:47,490: INFO/Worker-2] 1885602469: finished strategy "author-ordered"
[2016-03-04 07:13:47,526: INFO/Worker-2] found 26 author in the search set
[2016-03-04 07:13:47,526: INFO/Worker-2] authors: 26
[2016-03-04 07:13:47,694: INFO/Worker-2] 1885602469: finished strategy "author-ordered-minyear"
[2016-03-04 07:13:47,695: INFO/Worker-2] found 3 journals in search set
[2016-03-04 07:13:48,527: INFO/Worker-2] 1885602469: finished strategy "journal-ordered"
[2016-03-04 07:13:48,528: INFO/Worker-2] found 3 journals in search set
[2016-03-04 07:13:48,557: INFO/Worker-2] 1885602469: finished strategy "journal-ordered-minyear"
[2016-03-04 07:13:48,558: INFO/Worker-2] found 4 conferences in search set
[2016-03-04 07:13:49,294: INFO/Worker-2] 1885602469: finished strategy "conference-ordered"
[2016-03-04 07:13:49,295: INFO/Worker-2] found 4 conferences in search set
[2016-03-04 07:13:49,376: INFO/Worker-2] 1885602469: finished strategy "conference-ordered-minyear"
[2016-03-04 07:13:49,377: INFO/Worker-2] found 26 author in the search set
[2016-03-04 07:13:49,378: INFO/Worker-2] authors: 26
[2016-03-04 07:13:49,527: INFO/Worker-2] authors: 4
[2016-03-04 07:13:59,658: INFO/Worker-2] found 3 journals in search set
[2016-03-04 07:13:59,688: INFO/Worker-2] found 4 conferences in search set
[2016-03-04 07:13:59,769: INFO/Worker-2] 1885602469: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 07:14:01,265: INFO/Worker-2] 1860570626 author: set 54 publications
[2016-03-04 07:14:03,588: INFO/Worker-2] found 104 author in the search set
[2016-03-04 07:14:03,588: INFO/Worker-2] authors: 104
[2016-03-04 07:15:02,843: INFO/Worker-2] 1860570626: finished strategy "author-ordered"
[2016-03-04 07:15:02,845: INFO/Worker-2] found 104 author in the search set
[2016-03-04 07:15:02,845: INFO/Worker-2] authors: 104
[2016-03-04 07:15:03,313: INFO/Worker-2] 1860570626: finished strategy "author-ordered-minyear"
[2016-03-04 07:15:03,327: INFO/Worker-2] found 0 journals in search set
[2016-03-04 07:15:03,327: INFO/Worker-2] 1860570626: finished strategy "journal-ordered"
[2016-03-04 07:15:03,327: INFO/Worker-2] found 0 journals in search set
[2016-03-04 07:15:03,327: INFO/Worker-2] 1860570626: finished strategy "journal-ordered-minyear"
[2016-03-04 07:15:03,328: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:15:03,328: INFO/Worker-2] 1860570626: finished strategy "conference-ordered"
[2016-03-04 07:15:03,329: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:15:03,329: INFO/Worker-2] 1860570626: finished strategy "conference-ordered-minyear"
[2016-03-04 07:15:03,331: INFO/Worker-2] found 104 author in the search set
[2016-03-04 07:15:03,331: INFO/Worker-2] authors: 104
[2016-03-04 07:15:03,814: INFO/Worker-2] authors: 0
[2016-03-04 07:15:03,815: INFO/Worker-2] found 0 journals in search set
[2016-03-04 07:15:03,816: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:15:03,816: INFO/Worker-2] 1860570626: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 07:15:05,623: INFO/Worker-2] 293093246 author: set 64 publications
[2016-03-04 07:15:08,727: INFO/Worker-2] found 123 author in the search set
[2016-03-04 07:15:08,727: INFO/Worker-2] authors: 123
[2016-03-04 07:32:08,711: INFO/Worker-2] 293093246: finished strategy "author-ordered"
[2016-03-04 07:32:10,625: INFO/Worker-2] found 123 author in the search set
[2016-03-04 07:32:10,625: INFO/Worker-2] authors: 123
[2016-03-04 07:42:03,833: INFO/Worker-2] 293093246: finished strategy "author-ordered-minyear"
[2016-03-04 07:42:03,835: INFO/Worker-2] found 17 journals in search set
[2016-03-04 07:42:43,565: INFO/Worker-2] 293093246: finished strategy "journal-ordered"
[2016-03-04 07:42:43,624: INFO/Worker-2] found 17 journals in search set
[2016-03-04 07:42:48,265: INFO/Worker-2] 293093246: finished strategy "journal-ordered-minyear"
[2016-03-04 07:42:48,276: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:42:48,276: INFO/Worker-2] 293093246: finished strategy "conference-ordered"
[2016-03-04 07:42:48,292: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 07:42:48,292: INFO/Worker-2] 293093246: finished strategy "conference-ordered-minyear"
[2016-03-04 07:42:49,897: INFO/Worker-2] found 123 author in the search set
[2016-03-04 07:42:49,898: INFO/Worker-2] authors: 123
[2016-03-04 07:51:57,904: INFO/Worker-2] authors: 269
[2016-03-04 08:30:43,575: INFO/Worker-2] found 67 journals in search set
[2016-03-04 08:31:43,301: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 08:31:43,301: INFO/Worker-2] 293093246: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 08:31:48,574: INFO/Worker-2] 278033781 author: set 300 publications
[2016-03-04 08:32:00,411: INFO/Worker-2] found 703 author in the search set
[2016-03-04 08:32:00,412: INFO/Worker-2] authors: 703
[2016-03-04 09:13:49,174: INFO/Worker-2] 278033781: finished strategy "author-ordered"
[2016-03-04 09:13:56,885: INFO/Worker-2] found 703 author in the search set
[2016-03-04 09:13:56,885: INFO/Worker-2] authors: 703
[2016-03-04 09:41:45,949: INFO/Worker-2] 278033781: finished strategy "author-ordered-minyear"
[2016-03-04 09:41:45,973: INFO/Worker-2] found 85 journals in search set
[2016-03-04 09:43:41,029: INFO/Worker-2] 278033781: finished strategy "journal-ordered"
[2016-03-04 09:43:41,052: INFO/Worker-2] found 85 journals in search set
[2016-03-04 09:44:02,339: INFO/Worker-2] 278033781: finished strategy "journal-ordered-minyear"
[2016-03-04 09:44:02,371: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 09:44:02,371: INFO/Worker-2] 278033781: finished strategy "conference-ordered"
[2016-03-04 09:44:02,373: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 09:44:02,373: INFO/Worker-2] 278033781: finished strategy "conference-ordered-minyear"
[2016-03-04 09:44:04,286: INFO/Worker-2] found 703 author in the search set
[2016-03-04 09:44:04,286: INFO/Worker-2] authors: 703
[2016-03-04 10:12:23,922: INFO/Worker-2] authors: 1851
[2016-03-04 11:46:43,357: INFO/Worker-2] found 208 journals in search set
[2016-03-04 11:49:14,760: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 11:49:14,760: INFO/Worker-2] 278033781: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 11:49:15,539: INFO/Worker-2] 50559857 author: set 22 publications
[2016-03-04 11:49:16,024: INFO/Worker-2] found 14 author in the search set
[2016-03-04 11:49:16,024: INFO/Worker-2] authors: 14
[2016-03-04 11:49:28,911: INFO/Worker-2] 50559857: finished strategy "author-ordered"
[2016-03-04 11:49:28,931: INFO/Worker-2] found 14 author in the search set
[2016-03-04 11:49:28,931: INFO/Worker-2] authors: 14
[2016-03-04 11:49:28,999: INFO/Worker-2] 50559857: finished strategy "author-ordered-minyear"
[2016-03-04 11:49:29,048: INFO/Worker-2] found 9 journals in search set
[2016-03-04 11:49:33,359: INFO/Worker-2] 50559857: finished strategy "journal-ordered"
[2016-03-04 11:49:33,371: INFO/Worker-2] found 9 journals in search set
[2016-03-04 11:49:34,092: INFO/Worker-2] 50559857: finished strategy "journal-ordered-minyear"
[2016-03-04 11:49:34,093: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 11:49:34,093: INFO/Worker-2] 50559857: finished strategy "conference-ordered"
[2016-03-04 11:49:34,093: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 11:49:34,093: INFO/Worker-2] 50559857: finished strategy "conference-ordered-minyear"
[2016-03-04 11:49:34,094: INFO/Worker-2] found 14 author in the search set
[2016-03-04 11:49:34,094: INFO/Worker-2] authors: 14
[2016-03-04 11:49:34,157: INFO/Worker-2] authors: 0
[2016-03-04 11:49:34,157: INFO/Worker-2] found 9 journals in search set
[2016-03-04 11:49:34,875: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 11:49:34,875: INFO/Worker-2] 50559857: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 11:49:36,714: INFO/Worker-2] 1842981905 author: set 87 publications
[2016-03-04 11:49:38,776: INFO/Worker-2] found 100 author in the search set
[2016-03-04 11:49:38,776: INFO/Worker-2] authors: 100
[2016-03-04 11:56:15,650: INFO/Worker-2] 1842981905: finished strategy "author-ordered"
[2016-03-04 11:56:15,662: INFO/Worker-2] found 100 author in the search set
[2016-03-04 11:56:15,662: INFO/Worker-2] authors: 100
[2016-03-04 11:56:17,555: INFO/Worker-2] 1842981905: finished strategy "author-ordered-minyear"
[2016-03-04 11:56:17,556: INFO/Worker-2] found 34 journals in search set
[2016-03-04 11:57:01,545: INFO/Worker-2] 1842981905: finished strategy "journal-ordered"
[2016-03-04 11:57:01,547: INFO/Worker-2] found 34 journals in search set
[2016-03-04 11:57:11,952: INFO/Worker-2] 1842981905: finished strategy "journal-ordered-minyear"
[2016-03-04 11:57:11,954: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 11:57:11,954: INFO/Worker-2] 1842981905: finished strategy "conference-ordered"
[2016-03-04 11:57:11,955: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 11:57:11,955: INFO/Worker-2] 1842981905: finished strategy "conference-ordered-minyear"
[2016-03-04 11:57:11,958: INFO/Worker-2] found 100 author in the search set
[2016-03-04 11:57:11,958: INFO/Worker-2] authors: 100
[2016-03-04 11:57:15,420: INFO/Worker-2] authors: 131
[2016-03-04 12:04:41,886: INFO/Worker-2] found 64 journals in search set
[2016-03-04 12:05:24,438: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 12:05:24,439: INFO/Worker-2] 1842981905: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 12:05:25,289: INFO/Worker-2] 1878062382 author: set 42 publications
[2016-03-04 12:05:26,472: INFO/Worker-2] found 60 author in the search set
[2016-03-04 12:05:26,472: INFO/Worker-2] authors: 60
[2016-03-04 12:08:28,380: INFO/Worker-2] 1878062382: finished strategy "author-ordered"
[2016-03-04 12:08:28,382: INFO/Worker-2] found 60 author in the search set
[2016-03-04 12:08:28,382: INFO/Worker-2] authors: 60
[2016-03-04 12:08:28,976: INFO/Worker-2] 1878062382: finished strategy "author-ordered-minyear"
[2016-03-04 12:08:28,977: INFO/Worker-2] found 18 journals in search set
[2016-03-04 12:09:18,224: INFO/Worker-2] 1878062382: finished strategy "journal-ordered"
[2016-03-04 12:09:18,227: INFO/Worker-2] found 18 journals in search set
[2016-03-04 12:09:36,250: INFO/Worker-2] 1878062382: finished strategy "journal-ordered-minyear"
[2016-03-04 12:09:36,254: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 12:09:36,254: INFO/Worker-2] 1878062382: finished strategy "conference-ordered"
[2016-03-04 12:09:36,255: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 12:09:36,255: INFO/Worker-2] 1878062382: finished strategy "conference-ordered-minyear"
[2016-03-04 12:09:36,274: INFO/Worker-2] found 60 author in the search set
[2016-03-04 12:09:36,274: INFO/Worker-2] authors: 60
[2016-03-04 12:09:40,062: INFO/Worker-2] authors: 60
[2016-03-04 12:12:04,906: INFO/Worker-2] found 35 journals in search set
[2016-03-04 12:12:40,958: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 12:12:40,958: INFO/Worker-2] 1878062382: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 12:12:41,412: INFO/Worker-2] 1861583621 author: set 19 publications
[2016-03-04 12:12:42,385: INFO/Worker-2] found 90 author in the search set
[2016-03-04 12:12:42,385: INFO/Worker-2] authors: 90
[2016-03-04 12:27:54,264: INFO/Worker-2] 1861583621: finished strategy "author-ordered"
[2016-03-04 12:27:55,154: INFO/Worker-2] found 90 author in the search set
[2016-03-04 12:27:55,155: INFO/Worker-2] authors: 90
[2016-03-04 12:33:26,557: INFO/Worker-2] 1861583621: finished strategy "author-ordered-minyear"
[2016-03-04 12:33:26,569: INFO/Worker-2] found 7 journals in search set
[2016-03-04 12:33:57,536: INFO/Worker-2] 1861583621: finished strategy "journal-ordered"
[2016-03-04 12:33:57,537: INFO/Worker-2] found 7 journals in search set
[2016-03-04 12:33:59,674: INFO/Worker-2] 1861583621: finished strategy "journal-ordered-minyear"
[2016-03-04 12:33:59,675: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 12:33:59,675: INFO/Worker-2] 1861583621: finished strategy "conference-ordered"
[2016-03-04 12:33:59,676: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 12:33:59,676: INFO/Worker-2] 1861583621: finished strategy "conference-ordered-minyear"
[2016-03-04 12:33:59,678: INFO/Worker-2] found 90 author in the search set
[2016-03-04 12:33:59,678: INFO/Worker-2] authors: 90
[2016-03-04 12:34:06,688: INFO/Worker-2] authors: 434
[2016-03-04 13:42:28,913: INFO/Worker-2] found 76 journals in search set
[2016-03-04 13:43:56,804: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 13:43:56,804: INFO/Worker-2] 1861583621: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 13:43:57,414: INFO/Worker-2] 1417008787 author: set 14 publications
[2016-03-04 13:43:57,871: INFO/Worker-2] found 26 author in the search set
[2016-03-04 13:43:57,871: INFO/Worker-2] authors: 26
[2016-03-04 13:44:53,865: INFO/Worker-2] 1417008787: finished strategy "author-ordered"
[2016-03-04 13:44:53,875: INFO/Worker-2] found 26 author in the search set
[2016-03-04 13:44:53,875: INFO/Worker-2] authors: 26
[2016-03-04 13:44:53,995: INFO/Worker-2] 1417008787: finished strategy "author-ordered-minyear"
[2016-03-04 13:44:54,008: INFO/Worker-2] found 4 journals in search set
[2016-03-04 13:44:58,839: INFO/Worker-2] 1417008787: finished strategy "journal-ordered"
[2016-03-04 13:44:58,859: INFO/Worker-2] found 4 journals in search set
[2016-03-04 13:44:59,895: INFO/Worker-2] 1417008787: finished strategy "journal-ordered-minyear"
[2016-03-04 13:44:59,909: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 13:44:59,909: INFO/Worker-2] 1417008787: finished strategy "conference-ordered"
[2016-03-04 13:44:59,910: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 13:44:59,910: INFO/Worker-2] 1417008787: finished strategy "conference-ordered-minyear"
[2016-03-04 13:44:59,911: INFO/Worker-2] found 26 author in the search set
[2016-03-04 13:44:59,911: INFO/Worker-2] authors: 26
[2016-03-04 13:45:00,086: INFO/Worker-2] authors: 2
[2016-03-04 13:45:07,273: INFO/Worker-2] found 7 journals in search set
[2016-03-04 13:45:10,639: INFO/Worker-2] found 0 conferences in search set
[2016-03-04 13:45:10,640: INFO/Worker-2] 1417008787: finished strategy "author-ordered-minyear-recursive+journal-ordered-minyear+conference-ordered-minyear"
[2016-03-04 13:45:12,278: INFO/Worker-2] 1884248971 author: set 59 publications
[2016-03-04 13:45:14,599: INFO/Worker-2] found 60 author in the search set
